Date,Open,High,Low,Close,Adj Close,Volume
2018-06-15,257.739990,257.739990,257.739990,257.739990,236.410583,0
2018-06-18,257.200012,257.200012,257.200012,257.200012,235.915253,0
2018-06-19,256.170013,256.170013,256.170013,256.170013,234.970520,0
2018-06-20,256.609985,256.609985,256.609985,256.609985,235.374084,0
2018-06-21,255.009995,255.009995,255.009995,255.009995,233.906494,0
2018-06-22,255.490005,255.490005,255.490005,255.490005,234.346802,0
2018-06-25,251.990005,251.990005,251.990005,251.990005,231.136444,0
2018-06-26,252.539993,252.539993,252.539993,252.539993,231.640915,0
2018-06-27,249.199997,249.199997,249.199997,249.199997,229.637589,0
2018-06-28,250.770004,250.770004,250.770004,250.770004,231.084335,0
2018-06-29,250.979996,250.979996,250.979996,250.979996,231.277863,0
2018-07-02,251.759995,251.759995,251.759995,251.759995,231.996613,0
2018-07-03,250.509995,250.509995,250.509995,250.509995,230.844742,0
2018-07-05,252.729996,252.729996,252.729996,252.729996,232.890472,0
2018-07-06,254.889999,254.889999,254.889999,254.889999,234.880875,0
2018-07-09,257.220001,257.220001,257.220001,257.220001,237.028030,0
2018-07-10,258.109985,258.109985,258.109985,258.109985,237.848114,0
2018-07-11,256.279999,256.279999,256.279999,256.279999,236.161758,0
2018-07-12,258.549988,258.549988,258.549988,258.549988,238.253586,0
2018-07-13,258.829987,258.829987,258.829987,258.829987,238.511581,0
2018-07-16,258.570007,258.570007,258.570007,258.570007,238.272034,0
2018-07-17,259.609985,259.609985,259.609985,259.609985,239.230392,0
2018-07-18,260.170013,260.170013,260.170013,260.170013,239.746414,0
2018-07-19,259.170013,259.170013,259.170013,259.170013,238.824997,0
2018-07-20,258.929993,258.929993,258.929993,258.929993,238.603790,0
2018-07-23,259.410004,259.410004,259.410004,259.410004,239.046082,0
2018-07-24,260.660004,260.660004,260.660004,260.660004,240.197983,0
2018-07-25,263.029999,263.029999,263.029999,263.029999,242.381927,0
2018-07-26,262.239990,262.239990,262.239990,262.239990,241.653915,0
2018-07-27,260.519989,260.519989,260.519989,260.519989,240.068924,0
2018-07-30,259.040009,259.040009,259.040009,259.040009,238.705139,0
2018-07-31,260.309998,260.309998,260.309998,260.309998,239.875427,0
2018-08-01,260.040009,260.040009,260.040009,260.040009,239.626663,0
2018-08-02,261.350006,261.350006,261.350006,261.350006,240.833786,0
2018-08-03,262.600006,262.600006,262.600006,262.600006,241.985748,0
2018-08-06,263.549988,263.549988,263.549988,263.549988,242.861084,0
2018-08-07,264.299988,264.299988,264.299988,264.299988,243.552170,0
2018-08-08,264.230011,264.230011,264.230011,264.230011,243.487747,0
2018-08-09,263.920013,263.920013,263.920013,263.920013,243.202103,0
2018-08-10,262.119995,262.119995,262.119995,262.119995,241.543335,0
2018-08-13,261.079987,261.079987,261.079987,261.079987,240.584961,0
2018-08-14,262.769989,262.769989,262.769989,262.769989,242.142303,0
2018-08-15,260.820007,260.820007,260.820007,260.820007,240.345398,0
2018-08-16,262.959991,262.959991,262.959991,262.959991,242.317368,0
2018-08-17,263.850006,263.850006,263.850006,263.850006,243.137543,0
2018-08-20,264.500000,264.500000,264.500000,264.500000,243.736511,0
2018-08-21,265.059998,265.059998,265.059998,265.059998,244.252609,0
2018-08-22,264.959991,264.959991,264.959991,264.959991,244.160370,0
2018-08-23,264.529999,264.529999,264.529999,264.529999,243.764160,0
2018-08-24,266.170013,266.170013,266.170013,266.170013,245.275406,0
2018-08-27,268.239990,268.239990,268.239990,268.239990,247.182938,0
2018-08-28,268.320007,268.320007,268.320007,268.320007,247.256638,0
2018-08-29,269.869995,269.869995,269.869995,269.869995,248.684982,0
2018-08-30,268.720001,268.720001,268.720001,268.720001,247.625198,0
2018-08-31,268.779999,268.779999,268.779999,268.779999,247.680542,0
2018-09-04,268.359985,268.359985,268.359985,268.359985,247.293488,0
2018-09-05,267.609985,267.609985,267.609985,267.609985,246.602325,0
2018-09-06,266.709991,266.709991,266.709991,266.709991,245.773041,0
2018-09-07,266.140015,266.140015,266.140015,266.140015,245.247803,0
2018-09-10,266.640015,266.640015,266.640015,266.640015,245.708572,0
2018-09-11,267.660004,267.660004,267.660004,267.660004,246.648438,0
2018-09-12,267.760010,267.760010,267.760010,267.760010,246.740646,0
2018-09-13,269.239990,269.239990,269.239990,269.239990,248.104370,0
2018-09-14,269.359985,269.359985,269.359985,269.359985,248.214966,0
2018-09-17,267.859985,267.859985,267.859985,267.859985,246.832748,0
2018-09-18,269.309998,269.309998,269.309998,269.309998,248.168930,0
2018-09-19,269.649994,269.649994,269.649994,269.649994,248.482193,0
2018-09-20,271.769989,271.769989,271.769989,271.769989,250.435791,0
2018-09-21,271.679993,271.679993,271.679993,271.679993,250.352859,0
2018-09-24,270.720001,270.720001,270.720001,270.720001,249.468262,0
2018-09-25,269.170013,269.170013,269.170013,269.170013,249.158157,0
2018-09-26,268.290009,268.290009,268.290009,268.290009,248.343521,0
2018-09-27,269.079987,269.079987,269.079987,269.079987,249.074814,0
2018-09-28,269.089996,269.089996,269.089996,269.089996,249.084091,0
2018-10-01,270.059998,270.059998,270.059998,270.059998,249.982040,0
2018-10-02,269.959991,269.959991,269.959991,269.959991,249.889435,0
2018-10-03,270.160004,270.160004,270.160004,270.160004,250.074509,0
2018-10-04,268.010010,268.010010,268.010010,268.010010,248.084381,0
2018-10-05,266.540009,266.540009,266.540009,266.540009,246.723633,0
2018-10-08,266.429993,266.429993,266.429993,266.429993,246.621811,0
2018-10-09,266.130005,266.130005,266.130005,266.130005,246.344116,0
2018-10-10,257.380005,257.380005,257.380005,257.380005,238.244705,0
2018-10-11,252.089996,252.089996,252.089996,252.089996,233.347992,0
2018-10-12,255.699997,255.699997,255.699997,255.699997,236.689575,0
2018-10-15,254.190002,254.190002,254.190002,254.190002,235.291855,0
2018-10-16,259.660004,259.660004,259.660004,259.660004,240.355209,0
2018-10-17,259.609985,259.609985,259.609985,259.609985,240.308899,0
2018-10-18,255.899994,255.899994,255.899994,255.899994,236.874710,0
2018-10-19,255.809998,255.809998,255.809998,255.809998,236.791412,0
2018-10-22,254.720001,254.720001,254.720001,254.720001,235.782455,0
2018-10-23,253.330002,253.330002,253.330002,253.330002,234.495804,0
2018-10-24,245.509995,245.509995,245.509995,245.509995,227.257172,0
2018-10-25,250.070007,250.070007,250.070007,250.070007,231.478180,0
2018-10-26,245.750000,245.750000,245.750000,245.750000,227.479340,0
2018-10-29,244.130005,244.130005,244.130005,244.130005,225.979782,0
2018-10-30,247.979996,247.979996,247.979996,247.979996,229.543549,0
2018-10-31,250.679993,250.679993,250.679993,250.679993,232.042816,0
2018-11-01,253.330002,253.330002,253.330002,253.330002,234.495804,0
2018-11-02,251.759995,251.759995,251.759995,251.759995,233.042511,0
2018-11-05,253.169998,253.169998,253.169998,253.169998,234.347702,0
2018-11-06,254.779999,254.779999,254.779999,254.779999,235.837982,0
2018-11-07,260.179993,260.179993,260.179993,260.179993,240.836533,0
2018-11-08,259.670013,259.670013,259.670013,259.670013,240.364426,0
2018-11-09,257.320007,257.320007,257.320007,257.320007,238.189178,0
2018-11-12,252.250000,252.250000,252.250000,252.250000,233.496109,0
2018-11-13,251.889999,251.889999,251.889999,251.889999,233.162827,0
2018-11-14,250.039993,250.039993,250.039993,250.039993,231.450409,0
2018-11-15,252.779999,252.779999,252.779999,252.779999,233.986710,0
2018-11-16,253.360001,253.360001,253.360001,253.360001,234.523575,0
2018-11-19,249.149994,249.149994,249.149994,249.149994,230.626572,0
2018-11-20,244.639999,244.639999,244.639999,244.639999,226.451889,0
2018-11-21,245.399994,245.399994,245.399994,245.399994,227.155365,0
2018-11-23,243.809998,243.809998,243.809998,243.809998,225.683578,0
2018-11-26,247.619995,247.619995,247.619995,247.619995,229.210297,0
2018-11-27,248.429993,248.429993,248.429993,248.429993,229.960083,0
2018-11-28,254.160004,254.160004,254.160004,254.160004,235.264099,0
2018-11-29,253.660004,253.660004,253.660004,253.660004,234.801254,0
2018-11-30,255.779999,255.779999,255.779999,255.779999,236.763641,0
2018-12-03,258.579987,258.579987,258.579987,258.579987,239.355438,0
2018-12-04,250.229996,250.229996,250.229996,250.229996,231.626266,0
2018-12-06,249.919998,249.919998,249.919998,249.919998,231.339325,0
2018-12-07,244.130005,244.130005,244.130005,244.130005,225.979782,0
2018-12-10,244.570007,244.570007,244.570007,244.570007,226.387100,0
2018-12-11,244.490005,244.490005,244.490005,244.490005,226.312988,0
2018-12-12,245.820007,245.820007,245.820007,245.820007,227.544159,0
2018-12-13,245.809998,245.809998,245.809998,245.809998,227.534897,0
2018-12-14,239.869995,239.869995,239.869995,239.869995,223.199661,0
2018-12-17,234.899994,234.899994,234.899994,234.899994,218.575089,0
2018-12-18,234.929993,234.929993,234.929993,234.929993,218.603012,0
2018-12-19,231.339996,231.339996,231.339996,231.339996,215.262451,0
2018-12-20,227.699997,227.699997,227.699997,227.699997,211.875443,0
2018-12-21,223.000000,223.000000,223.000000,223.000000,207.502090,0
2018-12-24,216.970001,216.970001,216.970001,216.970001,201.891205,0
2018-12-26,227.740005,227.740005,227.740005,227.740005,211.912704,0
2018-12-27,229.710007,229.710007,229.710007,229.710007,213.745773,0
2018-12-28,229.460007,229.460007,229.460007,229.460007,213.513138,0
2018-12-31,231.440002,231.440002,231.440002,231.440002,215.355530,0
2019-01-02,231.729996,231.729996,231.729996,231.729996,215.625366,0
2019-01-03,226.059998,226.059998,226.059998,226.059998,210.349426,0
2019-01-04,233.820007,233.820007,233.820007,233.820007,217.570114,0
2019-01-07,235.460007,235.460007,235.460007,235.460007,219.096146,0
2019-01-08,237.740005,237.740005,237.740005,237.740005,221.217697,0
2019-01-09,238.789993,238.789993,238.789993,238.789993,222.194763,0
2019-01-10,239.869995,239.869995,239.869995,239.869995,223.199661,0
2019-01-11,239.839996,239.839996,239.839996,239.839996,223.171722,0
2019-01-14,238.600006,238.600006,238.600006,238.600006,222.017944,0
2019-01-15,241.160004,241.160004,241.160004,241.160004,224.400024,0
2019-01-16,241.710007,241.710007,241.710007,241.710007,224.911819,0
2019-01-17,243.570007,243.570007,243.570007,243.570007,226.642548,0
2019-01-18,246.779999,246.779999,246.779999,246.779999,229.629471,0
2019-01-22,243.300003,243.300003,243.300003,243.300003,226.391327,0
2019-01-23,243.830002,243.830002,243.830002,243.830002,226.884476,0
2019-01-24,244.169998,244.169998,244.169998,244.169998,227.200806,0
2019-01-25,246.259995,246.259995,246.259995,246.259995,229.145584,0
2019-01-28,244.320007,244.320007,244.320007,244.320007,227.340408,0
2019-01-29,243.970001,243.970001,243.970001,243.970001,227.014725,0
2019-01-30,247.789993,247.789993,247.789993,247.789993,230.569275,0
